actual,pred_lr,pred_rf
1097670,-3695412.349432584,1202423.16
141016791,160263082.17769474,153521139.31
338363,-11775168.674333569,312425.55
440347,1913754.4721468575,453573.92
54466651,60412969.57279691,56414720.63
247427,3380788.563881155,247482.48
424950,-1244536.4477902018,406354.77
2636531,-5382264.02649929,2522199.6
272022,801976.9186779447,272045.84
21934628,26971274.89873175,23900484.45
2677352,-875211.3949856572,2673075.74
2507660,-3024934.366875613,2868068.51
3287087,-516825.4979381412,3327340.44
7953511,3649810.9114978537,7972146.46
435813,1163247.5650977232,459422.95
255940,509501.5351049453,255933.9
608348,-3461169.398429161,567991.33
767525,-7021535.339541104,703101.43
626199,-4497668.412203642,640592.83
283405,-1848997.6860889606,283393.31
387860108,273610291.1483524,296512362.6
1596938,868542.4228935838,1091134.68
65582,-4717675.4088604525,65746.72
918104,1112825.4795712978,946445.62
352593,-3784935.638492292,352371.8
13194535,10351799.301445916,12228835.77
2091564,-1679127.416078249,2161424.99
9046579,8727388.248148248,8394988.26
5724612,11618165.091441628,6425647.8
123389,-5012473.524878606,126962.44
1643620,26624.846972141415,1873577.05
707073,-5424643.909927018,691645.84
2129485,-1329318.5875605233,2289582.33
129965,-1408120.9953462407,131211.98
304180,-8536876.867120758,313613.45
457488,-3643487.840252323,439666.57
3415508,1762924.7855556794,3381728.27
1066062,-1859420.7721025553,1042054.44
273738,2262180.7615300603,273797.25
2517758,310945.31745979935,2471942.75
1778869,-3340243.853101151,1728825.1
476474,-1985005.042299062,474636.1
305268,-2123854.7248401083,305479.11
94468000,64302446.337278426,74309963.15
3527064,2322615.590830583,3246036.27
2146609,-3055715.758741025,2166818.76
1760417,-3992423.9876854755,1720162.28
14725493,17169867.744300243,15596604.12
138656,1066389.8540972434,138909.37
1173310,-2080730.0469983201,1245103.94
551682,-4244430.202121435,572397.01
331224,-3164860.1602677424,331256.88
47412344,56851292.61854112,50157739.58
209772076,244388815.51772666,237692571.51
11909051,28612376.00692563,10604304.1
217277232,400659081.787561,379620849.64
3999914,2192523.746759571,3451104.37
252323,1956775.3198446818,252384.69
67310,-1071730.340947818,67205.78
981540,-1217312.307227593,3184065.03
497504,-3400641.423334405,564085.87
5193396,4544493.892868448,5438876.92
10641047,14440949.936429411,11021641.15
3023798,4965383.018800881,4803362.89
3663139,3354396.3936922215,3542887.04
263085,-621434.5284968577,262930.14
2751788,6552793.677469257,2732811.8
541257,-2553525.0614086688,542609.16
25462460,34327162.24379051,26071431.04
1674386,-1096383.5737449937,1643212.84
757201,-2370424.8423103616,772646.94
49275156,44388246.64729011,44792364.77
672341,-2584816.251542449,682749.35
786668,-2319252.394597564,833019.13
1827811,-2871859.0676447023,1968881.26
7066428,7276153.937161006,7815436.22
12986253,35741283.76713605,14167787.42
303908,-3493525.5952644404,303923.02
112337,-7986235.582756147,112183.82
556194,-3240072.217717992,564006.64
676983,-3568387.0600085743,661556.48
117833168,125205698.65792081,137892335.64
9482426,7974767.449881967,10400663.38
363834232,390402494.41730505,397780004.29
1912256,-2015463.756103104,1851774.6
701115,-2387803.538321143,968542.51
159066,681049.246240072,159145.2
1012613,-1358324.6980738435,1015594.19
1295615,-2697743.5323968194,1267276.34
1286992,-2789868.5838694703,1406340.27
535336,-3591400.2282998543,547192.83
292894,-3693831.7682947237,292805.87
81775,-5347825.663813164,81839.61
6386527,3376419.892326433,7562207.95
61140237,59966768.797392786,48453898.18
821075,-3452872.306369135,858169.25
150102,-7299422.197565604,150053.05
603508,-3728100.9524683487,658953.12
14952627,24790960.0965946,15076304.86
16440134,15331244.657354552,16296038.77
2787788,2125379.9865441173,2872249.49
78948456,102456895.97191963,87404296.91
549330,-8844031.283950143,539434.23
2404715,2586036.1169568114,2729238.45
3149581,-1887474.425569784,3077587.18
663318,4254538.517251097,664920.51
503781,-1811142.0484576337,481598.57
71004017,59916014.75451666,70586024.59
6613651,3729999.2866956033,5831461.47
41778523,48325369.62683667,43951787.73
21075698,20971924.99406309,21578942.87
522110,-5544445.96377233,593940.79
839321,-3317544.935899766,826144.14
249264,1648967.069848135,249309.26
85393131,78991156.59390524,81804268.37
4400410,5829526.893191557,4502404.64
223577,2778923.25171357,223596.58
387946,1710287.678880185,374487.99
3707974,826175.8642460369,2982429.82
568381,-3122807.271579003,571948.37
3209589,3031658.26897832,3143942.15
160244733,143095956.46584305,168853760.06
291189,-567268.9397790805,349513.8
54890193,85566132.20063178,59184886.71
1850035,-3247814.526165163,1857204.32
43434994,40795735.47266035,49915892.3
3317332,5053271.267019529,3523765.23
236700,1000178.9309743047,236693.01
554806,-1695588.276023861,548492.1
196788,2291724.9523392953,196844.15
144688259,151078505.4332072,161361859.73
7129500,8011040.553922094,6916871.5
363298,-1404726.1087093465,363344.02
572396,-964127.5668988228,605186.86
6206504,3642469.946896255,5721494.21
546036924,446703099.8903127,511290940.27
5464429,4232655.325998068,7062939.99
853042,341209.6045794822,787065.41
10780657,12238136.060589347,14140211.62
174698,1974043.6193523556,174468.44
107243178,129796750.40149933,138649284.44
62256647,62983784.72563848,53698128.72
225232,2472787.612843223,225234.86
83746,319944.5591153577,83614.52
161161,-632044.9561624639,158081.02
2337458,-4209545.895973761,2138979.03
103671,-1755388.0324294157,103391.25
5762912,3447752.627586033,6232903.6
3076272,1004399.3628752939,3491577.51
14850689,32631065.771425527,15887768.23
13139202,21674860.002079006,12700062.36
221410,385872.95417059213,221563.77
85639079,151846076.5671479,79766993.28
7697606,5936597.516747136,7490611.27
218459,1593083.2223927863,218475.15
13466685,10850958.511618871,14195905.85
341248,-4411554.427000778,341210.66
4036176,-79177.54917550087,3554768.09
7616482,10124723.011925265,8172709.89
169149991,131175398.27060053,168566465.14
259432,1581711.7298453748,259390.0
8043621,5402163.148204394,8933545.6
275409,-313245.45666591823,275387.95
218726,2606641.9364701807,218774.22
1058760,-3500549.446900679,1079613.41
736285,1315144.210843742,706923.74
209491,673459.4520802237,209400.52
1047462,-3159155.6475293674,1151615.46
278797,-1176273.9162357338,278838.86
102677098,106669387.17379762,117392127.56
63172,-5518032.075238695,62875.06
530595,-1598527.9902500268,562723.35
4533487,10181194.426395994,4458773.33
107084,-3206371.864318069,106749.79
2796945,-128541.4755861722,2530389.64
1454789,-2500103.505632527,1577155.97
32396064,52213121.266316995,44104864.94
173180228,170186641.86622766,167248480.91
1610294,-1158282.0456838235,1616687.01
565146,-4555911.578863697,565801.86
581845,-2953892.1020533387,603519.94
233263,2618843.4395734034,233185.19
292802,-2938977.7390076164,292729.7
610820,-3706055.440937549,524145.91
336031,-1648441.8285072744,336153.71
835587,-6023425.148561465,836641.38
12523803,45131753.7665941,14792423.69
461645,2212779.18731511,455131.72
20911111,49736117.69087984,21895844.19
24476041,27129272.844593365,28243424.42
3965274,-421545.36026226357,3806597.45
64035,-3232755.5574625824,64045.92
436918,-6874580.254332507,471093.46
299656,-3486796.040788682,299763.19
1811760,-913151.122579813,2004586.02
296625,-1860747.8109030146,296648.65
2622619,-634962.2414498106,2678822.25
1765257,-5306538.581504125,1508339.58
522504,732436.3140251711,525718.17
45068508,36155724.23913869,35092977.1
30543478,29066919.42848042,31006526.22
85260,-4443859.92745777,85327.52
235980,2752314.7517982125,235935.13
3244661,-94335.78920959309,3247062.25
328351,-3943088.502289476,310155.91
56458549,90957293.1850951,41547352.25
312785,-5593525.931011464,350164.92
21362276,24820815.919417482,26948463.38
233708,693589.1768550985,233672.91
343139,-1519172.146475384,343104.63
11632510,22914253.28591552,11861777.41
1062133,-4920027.377406623,1203297.76
15600011,12001397.445344187,14135499.73
11989994,13329535.323546372,13458892.15
12178744,34772088.266531214,9089772.55
4949477,2314232.526841186,5383388.05
381609,-2714478.1908578593,450352.21
288063,-671523.4493588768,288039.55
44793152,52687156.770416185,42886205.27
1298323,-5436754.600397442,1407019.23
274635,-4616349.200217273,306459.65
178386,-396583.26413837075,178381.8
2186414,561083.7403094955,2741969.62
321658,-1321426.438995637,321622.23
815363,-3473115.284502173,975505.37
1007835,-3965113.301426938,998006.79
269785,-667702.0936084129,269754.95
2495150,720166.417992495,2383869.98
168075,-3846440.78975877,167028.16
1132201,-242029.86628963426,1044559.62
943206,-762861.4009273946,954689.67
34209480,34067868.722212225,33364088.97
38986100,32518395.56046659,34536499.64
257511,201838.22976151854,257521.81
310251,-2369465.6729673278,310427.73
135753612,179484844.20159876,133087059.08
667136,-4250139.821396392,731723.02
45142874,27545650.39654417,23637526.46
120201022,62819923.939760536,54110472.03
320029,3524345.175852623,320105.41
2711213,4054082.538174443,2887083.89
363197,-4684847.426267577,363232.78
19179792,20080776.09118064,20854451.09
715892,-4219294.686590603,761281.97
666943,-2063459.8628478087,642627.93
231913,-683992.8235191293,231849.03
226667,565537.9907005504,226725.03
1303714,-3272924.28287985,1294814.87
1467142,2949676.483028125,1401256.24
75658607,178457060.20949557,88122139.79
10988416,8673924.642066196,13657050.57
905636,-5747523.085424779,944375.0
1664791,-2153856.0390436575,1702804.63
5357682,2581771.01801778,5110038.7
241128929,248763918.03834686,208173094.09
210395,1362368.6645539477,210275.02
6056885,1559179.6944105178,5607624.55
245356,-446843.8920769021,230245.2
31206265,72808547.2572115,33111861.56
378316,-1720011.2020883765,378706.62
31372470,47435025.36670004,28184691.47
397629,1473914.9282220565,388223.36
449362,-4462744.3912556,442537.74
2678856,4856470.650659125,3434300.65
671396,2443810.2455931827,661739.07
26884064,37302623.77643509,28919829.17
1065658,2379409.94450761,1064054.15
8108259,8219063.829327952,9878190.46
39943232,66936231.200811446,38819942.84
67946,-51460.80629223585,68096.07
286404,-3979979.3426916823,286349.25
43654898,50590976.80113426,34804060.69
606119,-3141941.1176796276,603077.24
192635,-978029.5096167848,192611.04
683370,-634390.5878924057,715534.28
75686,-3357098.8860359695,75850.09
665627,2684020.3489396535,663071.19
902538,1189844.4184919707,898375.58
8680113,37188314.164841875,8984846.02
251855,2032322.6116317362,251827.47
119358756,86710245.37778029,100927570.93
