Artist Name,avg_days_on_chart,avg_peak_streams,total_streams,cluster
Dae Dae ,78.0,189960.0,11632510,1
Daft Punk ,2.0,286686.8,2690619,1
Dan + Shay ,151.46666666666667,465775.06666666665,641827620,2
Daniel Caesar ,14.555555555555555,337191.44444444444,28857756,1
Daniel Marcy ,1.0,710534.0,710534,1
Danny Elfman ,1.0,253164.0,253164,1
Danny Ocean ,54.0,248290.0,9372773,1
Dante Klein ,142.0,473402.0,46295103,2
Dantès ,1.0,362762.0,362762,1
Darius Rucker ,51.0,342531.0,11715377,1
Darlene Love ,37.5,1068690.25,82806125,0
Daryl Hall & John Oates ,20.0,512061.25,25915800,1
Das Sound Machine ,1.0,72612.0,72612,1
Dave ,18.0,173785.0,2404715,1
David Bowie ,2.4285714285714284,214516.57142857142,12763803,1
David Guetta ,59.45,363222.7,340097286,1
David Kushner ,5.0,281200.0,1254914,1
David Nail ,4.0,120978.0,465974,1
Dawin ,185.0,201282.0,25841085,2
Daya ,113.16666666666667,289229.0,165637969,2
DeJ Loaf ,95.0,152158.33333333334,36247977,1
Dead Or Alive ,3.0,306385.0,716371,1
Dean Lewis ,227.0,446099.5,141237758,2
Dean Martin ,80.83333333333333,1211788.0,211357813,0
Death Cab for Cutie ,1.25,126624.75,577427,1
Declan McKenna ,7.0,262248.0,1706208,1
Delacey ,18.0,386800.0,5065022,1
Demi Lovato ,58.421052631578945,427833.84210526315,373679263,1
Dennis Lloyd ,95.5,519825.0,62485166,2
Denzel Curry ,1.9,275984.1,4792140,1
Deorro ,78.0,145848.5,21021466,1
Dermot Kennedy ,2.5,236818.0,1116370,1
Desiigner ,116.28571428571429,486984.28571428574,316976673,2
Destiny's Child ,4.0,144493.0,2662472,1
Devin Dawson ,43.0,331462.5,18207725,1
Dexys Midnight Runners ,1.0,194508.0,194508,1
Diana Krall ,2.5,159511.5,616875,1
Diane Guerrero ,99.0,592526.0,40013524,2
Diddy ,5.0,106005.0,451026,1
Dierks Bentley ,47.42857142857143,171039.57142857142,43306279,1
Dillon Francis ,14.833333333333334,148986.33333333334,9723374,1
Dimitri Vegas & Like Mike ,1.0,169975.0,169975,1
Diplo ,68.9090909090909,363455.0,191954646,1
Disclosure ,62.142857142857146,200580.2857142857,58471782,1
Disney Characters ,13.0,1421036.0,6761861,0
Disturbed ,36.0,132280.0,4324426,1
Dixie ,4.0,232902.0,867127,1
Dj Ozuna ,6.0,231840.0,1198268,1
Doe Boy ,1.0,232524.0,232524,1
Doja Cat ,159.14814814814815,760685.8518518518,1995810915,3
Dolly Parton ,2.0,410797.5,1581791,1
Dominic Fike ,41.666666666666664,406385.6666666667,36429053,1
Don McLean ,9.0,327664.0,2204770,1
Don Toliver ,28.785714285714285,462960.78571428574,296367444,1
Donnie Trumpet & The Social Experiment ,11.0,112368.0,1157771,1
Donny Hathaway ,92.0,1426804.0,36663687,0
Donyay ,1.0,211238.0,211238,1
Doris Day ,2.0,321250.0,510687,1
Dove Cameron ,236.0,610722.0,86719217,2
Dr. Dre ,24.2,604765.0,37867882,1
Drake ,105.83653846153847,1778147.048076923,9228928893,3
Drakeo the Ruler ,3.0,380083.0,895816,1
Dream ,7.333333333333333,439199.0,6407935,1
Dreamville ,13.153846153846153,457917.1923076923,111163417,1
Dreezy ,96.0,160155.0,12673888,1
DripReport ,73.0,351257.0,20448995,1
Dropkick Murphys ,7.0,358657.0,1666482,1
Dua Lipa ,110.16666666666667,523418.9583333333,1151112446,2
Duncan Laurence ,157.0,352955.0,44307767,2
Duran Duran ,5.0,279702.0,1272443,1
Dustin Lynch ,43.4,201815.0,46845660,1
Dwayne Johnson ,2.0,143650.0,283391,1
Dylan Scott ,11.5,203045.5,3991804,1
Dynoro ,73.0,444658.0,24715326,1
E,1.0,144513.5,289027,1
E.T. ,1.0,338155.0,338155,1
ERNEST ,214.0,420148.0,56799282,2
EST Gee ,8.0,306431.0,2073476,1
Eagles ,13.285714285714286,387501.71428571426,32424444,1
Earl Sweatshirt ,1.0555555555555556,262346.3888888889,4977593,1
"Earth, Wind & Fire ",45.0,777144.0,14950866,1
Eartha Kitt ,98.0,974543.0,76148092,0
Easton Corbin ,1.0,85501.0,85501,1
Eazy,4.0,77132.0,293511,1
Echosmith ,143.66666666666666,250603.66666666666,68951858,2
Ed Ivory ,2.0,397070.0,621312,1
Ed Sheeran ,100.27272727272727,664518.3333333334,2147313297,3
Eddie Rabbitt ,6.0,89430.0,422776,1
Edison Lighthouse ,36.0,287769.0,8827139,1
Edward Sharpe & The Magnetic Zeros ,7.5,256992.0,1788530,1
Electric Light Orchestra ,5.0,241414.0,951478,1
Eli Young Band ,35.0,261404.0,7742301,1
Elijah Blake ,1.0,83012.0,83012,1
Ella Fitzgerald ,13.5,581460.8333333334,31354580,1
Ella Henderson ,54.666666666666664,120230.0,18572480,1
Ella Mai ,65.5,397491.6666666667,134622147,1
Elle King ,105.5,308507.0,40190569,2
Elley Duhé ,180.0,436972.0,59878312,2
Ellie Goulding ,89.88235294117646,347430.17647058825,403294369,1
Ellie Nelson ,1.0,218459.0,218459,1
Elton John ,76.71428571428571,519641.14285714284,220537638,1
Elvis Presley ,100.0,1256826.0,123103588,0
ElyOtto ,65.0,389577.0,19454284,1
Em Beihold ,144.0,484640.0,50555344,2
Emeli Sandé ,1.0,174738.0,174738,1
Eminem ,51.573170731707314,767005.5243902439,1158092556,1
Emma Stone ,1.0,159671.0,159671,1
Emmy Meli ,83.0,364239.0,24325903,1
Empire Cast ,2.0,81174.0,304408,1
Empire of the Sun ,2.0,183508.0,641844,1
Enrique Iglesias ,45.2,164881.6,20373021,1
Eric Bellinger ,81.0,166281.0,11798671,1
Eric Church ,56.0,136467.8,28539513,1
Eric Clapton ,1.0,119869.0,119869,1
Erica Banks ,71.0,356854.0,18450948,1
Eslabon Armado ,15.3,367472.8,104432273,1
Etta James ,7.0,705012.0,3041640,1
Eurythmics ,9.0,503611.0,2750853,1
Evanescence ,2.0,247135.0,300293,1
Eve ,2.0,79551.0,134694,1
Eve 6 ,2.0,78044.0,148993,1
Eyedress ,102.0,268560.0,23078817,1
FKA twigs ,1.3333333333333333,307915.0,1187178,1
FLETCHER ,18.75,192923.0,16332971,1
FRENSHIP ,282.0,547036.0,96799483,2
Fabolous ,1.0,232011.0,232011,1
Faith Hill ,1.0,289962.0,289962,1
Fall Out Boy ,58.476190476190474,181318.2857142857,161299878,1
Family of the Year ,44.0,107984.0,3407009,1
Famous Dex ,243.33333333333334,706786.0,304286157,2
Farruko ,113.0,374452.6666666667,127910262,2
Fat Joe ,118.0,253075.0,43663786,2
Father John Misty ,1.0,80692.0,80692,1
Felix Jaehn ,139.0,172371.0,15915316,2
Fences ,12.0,70240.0,701738,1
Fergie ,145.0,236695.0,19710613,2
Fetty Wap ,147.1875,325720.125,620470827,2
Fifth Harmony ,83.66666666666667,301281.8,363232818,1
Fiona Apple ,2.0,298850.6666666667,3301015,1
Fireboy DML ,4.0,202580.0,800094,1
Fitz and The Tantrums ,10.0,178681.0,6342520,1
Fivio Foreign ,18.666666666666668,681612.6666666666,20292849,1
Fleetwood Mac ,274.0,531826.0,245490533,2
Flight Facilities ,1.0,59223.0,59223,1
Flipp Dinero ,251.5,667071.5,220128151,2
Flo Rida ,134.875,304754.25,269293744,2
Florence + The Machine ,1.7692307692307692,193466.38461538462,3620065,1
Florida Georgia Line ,67.6842105263158,222152.42105263157,212950189,1
Flume ,90.14285714285714,366958.14285714284,207134084,1
Flyboy Tarantino ,1.0,248926.5,497853,1
Foals ,2.0,108301.0,183519,1
Foo Fighters ,18.5,177357.0,38716588,1
Fort Minor ,1.0,104466.0,104466,1
Foster The People ,14.333333333333334,224309.66666666666,5949747,1
Foudeqush ,3.0,325690.0,914742,1
Four Tops ,1.0,231781.0,231781,1
Fousheé ,39.0,266627.0,9224553,1
Francesco Yates ,1.0,89456.0,89456,1
Francis and the Lights ,1.0,183327.66666666666,549983,1
Frank Ocean ,47.68421052631579,397792.36842105264,245609720,1
Frank Sinatra ,74.375,1273645.375,255786571,0
Fred again.. ,1.0,254241.0,254241,1
Freddie Dredd ,44.0,404831.0,14923501,1
Freddie Gibbs ,1.0,260552.0,1042208,1
Free Nationals ,1.0,303729.0,303729,1
French Montana ,69.93333333333334,430507.0,450454845,1
Friyie ,1.0,173792.0,173792,1
Fuerza Regida ,3.0,364028.0,943686,1
Fujii Kaze ,5.0,279926.0,1269251,1
Future ,32.242105263157896,551033.447368421,2099385424,3
G,50.265306122448976,310177.89795918367,605665191,1
G Herbo ,66.4,344581.6,100579022,1
G-Eazy,513.0,997340.0,208480098,2
G.R.L. ,50.0,137846.0,4569358,1
GASHI ,8.0,234728.5,3437024,1
GAYLE ,106.0,590591.5,113208304,2
Gabby Barrett ,197.0,323000.0,97677560,2
Galantis ,48.4,220957.5,90352752,1
Gang Starr ,2.0,331784.0,587871,1
Gavin DeGraw ,1.0,59899.0,59899,1
Gayla Peevey ,15.0,1182242.0,7089645,0
Gene Autry ,50.333333333333336,956729.0,55557145,0
George Ezra ,92.33333333333333,269822.3333333333,33780257,1
George Michael ,2.75,239296.5,2240513,1
Gera MX ,49.0,370445.0,13035673,1
Gerry Rafferty ,9.0,241939.0,2090141,1
Gesaffelstein ,86.0,1238188.0,33729127,0
Ghost ,86.0,564774.0,33860020,1
Ghost Town DJs ,49.0,241385.0,8688048,1
Ginuwine ,2.0,76241.0,150854,1
Giveon ,53.77777777777778,369816.1111111111,188931591,1
Glades ,28.0,236921.0,5738391,1
Glass Animals ,78.6,357979.7,546710118,1
Glee Cast ,4.0,227479.0,1265355,1
GloRilla ,86.0,454110.0,30296028,1
Gnarls Barkley ,3.0,133747.0,355961,1
GoldLink ,90.66666666666667,227405.0,58084673,1
Good Gas ,2.0,253012.0,440563,1
Gorillaz ,3.5833333333333335,288276.4166666667,22635496,1
Gotye ,2.0,213625.0,425517,1
Grace Potter ,1.0,82239.0,82239,1
Green Day ,1.0,132573.5,530294,1
Grey ,32.0,232188.0,6264590,1
Grimes ,2.0,146652.25,952860,1
Grouplove ,175.66666666666666,182467.33333333334,126143565,2
"Grover Washington, Jr. ",11.0,266772.0,2465647,1
Grupo Frontera ,45.5,423783.5,31587969,1
Gryffin ,8.0,285287.1666666667,22092083,1
Gucci Mane ,28.982456140350877,318280.3333333333,582429596,1
Gunna ,19.095238095238095,551866.380952381,446430710,1
Guns N' Roses ,18.0,247706.0,3541621,1
Gwen Stefani ,27.833333333333332,301526.6666666667,39622976,1
Gym Class Heroes ,97.0,407597.0,29175430,1
H.E.R. ,112.5,363492.0,164991676,2
HAIM ,1.1428571428571428,250044.85714285713,1947625,1
HARDY ,16.0,261115.0,7050451,1
HRVY ,14.0,242718.0,2967274,1
HSM ,4.0,291270.0,1044541,1
HVME ,15.0,341043.0,3965274,1
Hailee Steinfeld ,142.1,420156.9,466544227,2
Hailey Whitters ,3.0,244685.0,696950,1
Haley Reinhart ,1.0,90126.0,90126,1
